Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,1439501.06,209570.34,250217.10,570,0,616,0,1753,0,152,0,12,0.8705337196229365,1536
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,20887546.82,409425.20,117930.00,4934,0,2358,0,11496,0,1316,0,36,0.9270414200387866,11916
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1219945.56,47983.57,9290.00,898,0,954,0,1529,0,96,0,8,0.8408612071011954,972
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,2431293.65,1269712.23,1055412.00,955,0,339,0,2100,0,288,0,6,0.9792950639448738,3108
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,402969.84,182811.91,395844.00,141,0,31,0,339,0,89,0,13,0.2968112074089541,1644
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1157207.32,376877.47,915963.00,438,0,94,0,1115,0,256,0,7,0.9569712248291653,1860
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1180680.53,541593.66,134463.59,378,0,72,0,995,0,135,0,10,0.9502287123874712,1356
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2150459.77,550837.68,219475.50,472,0,172,0,1322,0,120,0,9,0.9509409211698235,1308
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,193432.63,59003.82,117602.62,84,0,21,0,181,0,31,0,5,0.9680227026998449,396
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,4853742.26,0.00,0,1408,0,627,0,3402,0,613,17,0.9829803795450357,4812
